                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                0.02652,               0.010491,               0.004179,              0.0030444,                0.93204,                0.90828,                0.92422,                0.71235,                0.95178,                 0.9268,                0.94477,                0.67044,               0.022879,               0.013289,              0.0028449,              0.0017625,               0.070769,              0.0032479,              0.0032479
                      1,               0.029807,               0.012134,              0.0049436,              0.0032174,                 0.8087,                0.90582,                 0.8455,                0.50945,                0.82848,                0.92395,                0.86853,                0.56091,               0.030785,               0.014878,              0.0028989,              0.0015745,                0.04071,               0.006522,               0.006522
                      2,               0.034004,               0.011253,              0.0045992,              0.0033353,                0.74206,                  0.878,                0.80654,                0.45773,                0.75698,                0.89063,                0.83231,                0.53548,               0.031623,                0.01413,              0.0029568,              0.0017035,               0.010591,              0.0097361,              0.0097361
                      3,               0.037877,               0.011056,              0.0044445,               0.004083,                0.89015,                0.92092,                0.89079,                0.41609,                0.90785,                0.93943,                0.92556,                0.51982,               0.039312,               0.014474,              0.0029971,              0.0022715,                0.00973,                0.00973,                0.00973
                      4,               0.036964,                0.01128,               0.004499,              0.0041422,                0.82381,                0.86753,                0.85838,                0.56027,                0.84465,                0.88401,                0.88773,                0.57895,               0.032416,               0.015854,              0.0033645,              0.0021121,                0.00973,                0.00973,                0.00973
                      5,               0.039434,               0.012795,              0.0050851,               0.003354,                0.92274,                0.86628,                0.88324,                0.58937,                0.94333,                 0.8848,                0.91687,                 0.5895,               0.032359,               0.015502,              0.0032327,              0.0022893,                0.00964,                0.00964,                0.00964
                      6,               0.038768,               0.012184,              0.0047132,              0.0045718,                0.79104,                0.84378,                0.85299,                0.46826,                0.79873,                0.82242,                0.83125,                 0.4831,               0.031673,               0.015854,              0.0034794,              0.0021123,                0.00955,                0.00955,                0.00955
                      7,               0.036578,               0.011561,              0.0047595,              0.0036542,                0.76104,                0.84843,                0.81049,                0.44841,                0.73477,                0.83987,                0.78543,                 0.4842,               0.035743,               0.017309,              0.0030384,              0.0017029,                0.00946,                0.00946,                0.00946
                      8,               0.038225,               0.011973,              0.0047707,              0.0042427,                0.79388,                0.91731,                0.86289,                0.54341,                0.82879,                0.95318,                0.90289,                0.62256,               0.032821,               0.014077,              0.0031181,              0.0020772,                0.00937,                0.00937,                0.00937
                      9,               0.036735,               0.011507,              0.0045757,              0.0033414,                0.80351,                0.86035,                0.89756,                0.58106,                 0.8445,                0.89739,                0.93596,                0.69059,               0.032476,               0.014621,              0.0031564,              0.0020287,                0.00928,                0.00928,                0.00928
                     10,                0.03519,               0.011799,              0.0046824,                0.00321,                 0.8269,                0.85447,                 0.8393,                0.51776,                0.84981,                0.87283,                0.85659,                0.56721,               0.031075,               0.017242,              0.0034632,              0.0021598,                0.00919,                0.00919,                0.00919
                     11,               0.034599,                0.01164,              0.0048219,              0.0032898,                0.77948,                0.86623,                0.83611,                0.52464,                0.81525,                0.83343,                0.86049,                0.55318,               0.028812,               0.016543,              0.0032779,              0.0013591,                 0.0091,                 0.0091,                 0.0091
                     12,               0.036301,               0.012786,              0.0049099,              0.0034704,                  0.885,                0.83368,                0.87588,                 0.5575,                0.92575,                 0.8671,                0.93827,                0.67525,               0.030678,               0.013604,              0.0029955,              0.0016078,                0.00901,                0.00901,                0.00901
                     13,               0.035708,               0.011621,              0.0046374,              0.0034614,                0.85738,                0.84322,                0.87629,                0.51228,                0.90482,                0.87298,                0.94097,                0.65682,               0.030681,               0.015535,              0.0029976,              0.0017463,                0.00892,                0.00892,                0.00892
                     14,               0.034718,               0.011596,              0.0044368,              0.0034678,                0.82439,                0.92179,                 0.8734,                0.58378,                0.83982,                0.88806,                0.90829,                0.55722,               0.027446,               0.014909,              0.0031116,              0.0016599,                0.00883,                0.00883,                0.00883
                     15,               0.032844,               0.010879,              0.0043602,              0.0032054,                0.89595,                0.88253,                0.88752,                0.59902,                0.88937,                0.87332,                0.88648,                 0.5598,                0.02731,                0.01459,              0.0031394,              0.0017784,                0.00874,                0.00874,                0.00874
                     16,               0.033955,               0.012064,              0.0047696,              0.0036896,                0.67725,                0.86812,                0.76455,                0.45819,                0.70197,                0.90516,                0.79791,                 0.5721,               0.030579,                0.01525,              0.0029862,              0.0017466,                0.00865,                0.00865,                0.00865
                     17,               0.033902,               0.012974,              0.0046785,              0.0036576,                0.91385,                0.91795,                0.91075,                0.47441,                0.87753,                0.90828,                 0.8893,                0.54458,                0.03113,               0.016041,              0.0028852,              0.0016604,                0.00856,                0.00856,                0.00856
                     18,               0.034153,               0.011744,              0.0043829,              0.0040424,                0.81935,                0.94131,                0.88111,                0.61182,                0.80795,                0.93079,                0.87088,                 0.5775,               0.025928,               0.015583,               0.002969,              0.0014488,                0.00847,                0.00847,                0.00847
                     19,               0.032906,               0.012003,              0.0045916,              0.0034994,                0.88603,                0.86112,                0.88568,                 0.5254,                0.92522,                0.89816,                0.91532,                0.61645,               0.030188,               0.016114,               0.002918,              0.0015668,                0.00838,                0.00838,                0.00838
                     20,               0.032875,               0.011168,              0.0044277,              0.0033486,                0.87941,                0.87514,                0.90846,                0.54842,                0.90003,                0.89274,                0.93021,                0.56315,               0.026803,               0.015265,              0.0028806,              0.0013666,                0.00829,                0.00829,                0.00829
                     21,               0.032566,               0.010673,              0.0041351,               0.003364,                0.94032,                0.90603,                0.91828,                0.60125,                0.95943,                0.92455,                0.94201,                0.64899,               0.026807,               0.015212,              0.0028689,              0.0012481,                 0.0082,                 0.0082,                 0.0082
